F1/BL6	F1/SPR
ENSMUSG00000000127.11:1	0.910761154855643	0.928813559322034
ENSMUSG00000000127.11:3	0.0708661417322835	0.0508474576271186
ENSMUSG00000000127.11:4	0.0183727034120735	0.0203389830508475
ENSMUSG00000000194.10:1	0.0978856695379796	0.120190957596181
ENSMUSG00000000194.10:3	0.0172278778386844	0.0261162594776748
ENSMUSG00000000194.10:4	0.0613416862438006	0.0516708789665824
ENSMUSG00000000194.10:5	0.572174367006004	0.652344846953103
ENSMUSG00000000194.10:6	0.0099190811798486	0.0047739399045212
ENSMUSG00000000194.10:7	0.240407204385278	0.142094917158102
ENSMUSG00000000276.8:1	0.354716981132075	0.380952380952381
ENSMUSG00000000276.8:2	0.0773584905660377	0.136904761904762
ENSMUSG00000000276.8:3	0.394339622641509	0.398809523809524
ENSMUSG00000000276.8:5	0.173584905660377	0.0833333333333333
ENSMUSG00000000561.11:1	0.0280251440544788	0.00792141951837769
ENSMUSG00000000561.11:3	0.91828182294395	0.929657794676806
ENSMUSG00000000561.11:4	0.0536930330015715	0.0624207858048162
ENSMUSG00000000631.16:1	0.976619906479626	0.955737000429738
ENSMUSG00000000631.16:4	0.00133600534402138	0.00472711645896003
ENSMUSG00000000631.16:5	0.0207080828323313	0.0378169316716803
ENSMUSG00000000738.14:1	0.964912280701754	0.981546917942678
ENSMUSG00000000738.14:2	0.0161588180978763	0.005496662740479
ENSMUSG00000000738.14:3	0.0189289012003693	0.0129564193168433
ENSMUSG00000000876.8:1	0.00250312891113892	0.028169014084507
ENSMUSG00000000876.8:2	0.735919899874844	0.801536491677337
ENSMUSG00000000876.8:3	0.0851063829787234	0.144686299615877
ENSMUSG00000000876.8:5	0.176470588235294	0.0256081946222791
ENSMUSG00000001052.12:2	0.979188345473465	0.969262295081967
ENSMUSG00000001052.12:4	0.0187304890738814	0.0245901639344262
ENSMUSG00000001065.11:1	0.763620386643234	0.85899814471243
ENSMUSG00000001065.11:2	0.221441124780316	0.13543599257885
ENSMUSG00000001065.11:3	0.0149384885764499	0.00556586270871985
ENSMUSG00000001089.11:1	0.0595238095238095	0.0666666666666667
ENSMUSG00000001089.11:3	0.940476190476191	0.933333333333333
ENSMUSG00000001120.12:1	0.989510489510489	0.968838526912181
ENSMUSG00000001120.12:2	0.0104895104895105	0.0311614730878187
ENSMUSG00000001156.7:1	0.774011299435028	0.793893129770992
ENSMUSG00000001156.7:2	0.225988700564972	0.206106870229008
ENSMUSG00000001157.10:2	0.486153846153846	0.544412607449857
ENSMUSG00000001157.10:3	0.343076923076923	0.303724928366762
ENSMUSG00000001157.10:4	0.170769230769231	0.151862464183381
ENSMUSG00000001248.11:1	0.998715203426124	0.996097907059241
ENSMUSG00000001248.11:2	0.0012847965738758	0.00390209294075913
ENSMUSG00000001403.10:1	0.00481144343302991	0.00389702409069438
ENSMUSG00000001403.10:2	0.687256176853056	0.75909305621162
ENSMUSG00000001403.10:3	0.234200260078023	0.149622106754842
ENSMUSG00000001403.10:4	0.0737321196358908	0.0873878129428436
ENSMUSG00000001418.10:1	0.0286283295992034	0.000544810678289294
ENSMUSG00000001418.10:2	0.330097087378641	0.296377008989376
ENSMUSG00000001418.10:3	0.640776699029126	0.690275129392536
ENSMUSG00000001418.10:4	0.000497883993029624	0.0128030509397984
ENSMUSG00000001420.10:1	0.0349344978165939	0.223628691983122
ENSMUSG00000001420.10:2	0.222707423580786	0.0632911392405063
ENSMUSG00000001420.10:3	0.720524017467249	0.704641350210971
ENSMUSG00000001467.5:1	0.0301307561114269	0.00891818534315626
ENSMUSG00000001467.5:2	0.0568504832291074	0.095967429236138
ENSMUSG00000001467.5:3	0.00373588889791278	0.00290810391624661
ENSMUSG00000001467.5:4	0.26126857792577	0.208737236655034
ENSMUSG00000001467.5:5	0.648014293835783	0.683469044849425
ENSMUSG00000001517.11:1	0.98866463920376	0.971652593486128
ENSMUSG00000001517.11:3	0.00552944429084877	0.0205066344993969
ENSMUSG00000001517.11:4	0.00580591650539121	0.00784077201447527
ENSMUSG00000001542.6:3	0.0760869565217391	0.165217391304348
ENSMUSG00000001542.6:4	0.380434782608696	0.565217391304348
ENSMUSG00000001542.6:5	0.543478260869565	0.269565217391304
ENSMUSG00000001569.10:1	0.135841170323929	0.126023944549464
ENSMUSG00000001569.10:2	0.0553814002089864	0.102709514807813
ENSMUSG00000001569.10:4	0.22675026123302	0.17643352236925
ENSMUSG00000001569.10:5	0.582027168234065	0.594833018273472
ENSMUSG00000001576.11:2	0.949515553289138	0.970095693779904
ENSMUSG00000001576.11:3	0.0494645588985212	0.027511961722488
ENSMUSG00000001627.8:2	0.00289389067524116	0.00144613159797542
ENSMUSG00000001627.8:3	0.996891747052519	0.998312846469029
ENSMUSG00000001700.9:1	0.852607709750567	0.92940414507772
ENSMUSG00000001700.9:3	0.036281179138322	0.0278497409326425
ENSMUSG00000001700.9:4	0.108843537414966	0.0414507772020725
ENSMUSG00000001942.7:1	0.754285714285714	0.60790273556231
ENSMUSG00000001942.7:2	0.161904761904762	0.270516717325228
ENSMUSG00000001942.7:3	0.0714285714285714	0.0577507598784195
ENSMUSG00000001942.7:6	0.0123809523809524	0.0638297872340426
ENSMUSG00000002103.12:4	0.891402714932127	0.962962962962963
ENSMUSG00000002103.12:6	0.108597285067873	0.037037037037037
ENSMUSG00000002105.12:1	0.977404777275662	0.982427462198611
ENSMUSG00000002105.12:2	0.0225952227243383	0.0175725378013895
ENSMUSG00000002221.8:4	0.887931034482759	0.853178784685634
ENSMUSG00000002221.8:5	0.105322338830585	0.142957499121883
ENSMUSG00000002222.11:10	0.16875	0.136986301369863
ENSMUSG00000002222.11:2	0.2375	0.26027397260274
ENSMUSG00000002222.11:3	0.56875	0.547945205479452
ENSMUSG00000002280.7:1	0.00269784172661871	0.0227773695811903
ENSMUSG00000002280.7:4	0.995503597122302	0.975753122703894
ENSMUSG00000002289.12:1	0.00116550116550117	0.00520899504510227
ENSMUSG00000002289.12:2	0.000423818605636787	0.00152458391563969
ENSMUSG00000002289.12:3	0.998410680228862	0.993266421039258
ENSMUSG00000002319.12:1	0.101530612244898	0.112508735150245
ENSMUSG00000002319.12:3	0.898469387755102	0.887491264849755
ENSMUSG00000002413.12:2	0.894415767245425	0.87298747763864
ENSMUSG00000002413.12:3	0.0872829657437823	0.114490161001789
ENSMUSG00000002413.12:6	0.014547160957297	0.00954084675014908
ENSMUSG00000002416.10:1	0.0149454857282862	0.00894308943089431
ENSMUSG00000002416.10:2	0.982971946588264	0.982113821138211
ENSMUSG00000002416.10:3	0.00208256768344971	0.00894308943089431
ENSMUSG00000002617.11:1	0.0150943396226415	0.0346820809248555
ENSMUSG00000002617.11:2	0.481132075471698	0.468208092485549
ENSMUSG00000002617.11:3	0.50377358490566	0.497109826589595
ENSMUSG00000002635.8:3	0.020743301642178	0.0197044334975369
ENSMUSG00000002635.8:4	0.97752808988764	0.974384236453202
ENSMUSG00000002733.8:1	0.95422943221321	0.943620178041543
ENSMUSG00000002733.8:4	0.044611819235226	0.0551928783382789
ENSMUSG00000003037.13:1	0.14792899408284	0.1184
ENSMUSG00000003037.13:2	0.760355029585799	0.8112
ENSMUSG00000003037.13:6	0.0887573964497041	0.0672
ENSMUSG00000003123.12:1	0.919540229885057	0.902912621359223
ENSMUSG00000003123.12:2	0.0804597701149425	0.0970873786407767
ENSMUSG00000003269.11:1	0.380382775119617	0.466851787573759
ENSMUSG00000003269.11:3	0.00941985645933014	0.000694203401596668
ENSMUSG00000003269.11:4	0.491028708133971	0.496933934976281
ENSMUSG00000003269.11:5	0.119168660287081	0.0355200740483628
ENSMUSG00000003464.10:2	0.872980910425844	0.81702374059062
ENSMUSG00000003464.10:3	0.0715859030837004	0.108859293572669
ENSMUSG00000003464.10:6	0.0411160058737151	0.0579038795599305
ENSMUSG00000003464.10:7	0.00844346549192364	0.00521134916039375
ENSMUSG00000003464.10:8	0.00587371512481645	0.0110017371163868
ENSMUSG00000003824.9:1	0.0259433962264151	0.0280373831775701
ENSMUSG00000003824.9:2	0.974056603773585	0.97196261682243
ENSMUSG00000003929.10:1	0.917941585535466	0.933333333333333
ENSMUSG00000003929.10:2	0.0820584144645341	0.0666666666666667
ENSMUSG00000004071.9:1	0.17004048582996	0.218316831683168
ENSMUSG00000004071.9:2	0.0728744939271255	0.0584158415841584
ENSMUSG00000004071.9:3	0.757085020242915	0.723267326732673
ENSMUSG00000004233.11:1	0.187214611872146	0.281553398058252
ENSMUSG00000004233.11:3	0.118721461187215	0.145631067961165
ENSMUSG00000004233.11:4	0.141552511415525	0.0699029126213592
ENSMUSG00000004233.11:6	0.378995433789954	0.475728155339806
ENSMUSG00000004233.11:8	0.0593607305936073	0.0116504854368932
ENSMUSG00000004233.11:9	0.0502283105022831	0.00776699029126214
ENSMUSG00000004364.11:1	0.0580624802776901	0.0409464131374244
ENSMUSG00000004364.11:3	0.4687072683286	0.494922212618842
ENSMUSG00000004364.11:4	0.47323025139371	0.464131374243734
ENSMUSG00000004446.9:1	0.0386384544618215	0.018058690744921
ENSMUSG00000004446.9:4	0.961361545538178	0.981941309255079
ENSMUSG00000004462.6:1	0.258278145695364	0.27854855923159
ENSMUSG00000004462.6:2	0.741721854304636	0.72145144076841
ENSMUSG00000004748.5:1	0.666666666666667	0.897959183673469
ENSMUSG00000004748.5:2	0.333333333333333	0.102040816326531
ENSMUSG00000004768.11:1	0.570886512590548	0.602661022074388
ENSMUSG00000004768.11:2	0.0137978613314936	0.0205624433020865
ENSMUSG00000004768.11:3	0.279406691962746	0.228303598427578
ENSMUSG00000004768.11:4	0.0607105898585719	0.044148775325068
ENSMUSG00000004768.11:5	0.0751983442566402	0.10432416087088
ENSMUSG00000004771.9:2	0.404352596927579	0.44630571343105
ENSMUSG00000004771.9:3	0.053218727139722	0.0417289859407718
ENSMUSG00000004771.9:5	0.190197512801756	0.190996111277296
ENSMUSG00000004771.9:6	0.352231163130944	0.320969189350882
ENSMUSG00000004798.11:10	0.0435328589367936	0.0681728101466508
ENSMUSG00000004798.11:3	0.0464629552113855	0.0800634165675783
ENSMUSG00000004798.11:7	0.567182921724571	0.524772096710266
ENSMUSG00000004798.11:8	0.054416073670992	0.0642092746730083
ENSMUSG00000004798.11:9	0.288405190456258	0.262782401902497
ENSMUSG00000004865.12:1	0.0322486926205694	0.0145271271864809
ENSMUSG00000004865.12:10	0.352701917489831	0.339163949006819
ENSMUSG00000004865.12:12	0.0339918651946543	0.0441743255262378
ENSMUSG00000004865.12:13	0.00552004648460198	0.000592943966795138
ENSMUSG00000004865.12:3	0.000871586287042417	0.00741179958493922
ENSMUSG00000004865.12:7	0.527019174898315	0.567150904239549
ENSMUSG00000004865.12:8	0.0450319581638582	0.0228283427216128
ENSMUSG00000004934.10:1	0.914921465968586	0.912350597609562
ENSMUSG00000004934.10:2	0.0850785340314136	0.0876494023904383
ENSMUSG00000005057.10:2	0.868421052631579	0.89922480620155
ENSMUSG00000005057.10:3	0.118421052631579	0.0930232558139535
ENSMUSG00000005374.10:3	0.842105263157895	0.96045197740113
ENSMUSG00000005374.10:5	0.128654970760234	0.0169491525423729
ENSMUSG00000005410.5:2	0.00856257970486427	0.0099009900990099
ENSMUSG00000005410.5:3	0.987975951903808	0.985148514851485
ENSMUSG00000005410.5:4	0.00346146839132811	0.00495049504950495
ENSMUSG00000005417.14:2	0.994215473608098	0.992377858303136
ENSMUSG00000005417.14:3	0.00578452639190166	0.00762214169686368
ENSMUSG00000005470.8:1	0.840402969247084	0.853242320819113
ENSMUSG00000005470.8:2	0.159597030752916	0.146757679180887
ENSMUSG00000005534.9:1	0.705514496873223	0.681880108991826
ENSMUSG00000005534.9:2	0.294485503126777	0.318119891008174
