F1/BL6	F1/SPR
ENSMUSG00000000058.6:1	0.0612066452929175	0.0671679197994988
ENSMUSG00000000058.6:2	0.767706208102594	0.467167919799499
ENSMUSG00000000058.6:3	0.0999708539784319	0.0799498746867168
ENSMUSG00000000058.6:5	0.00262314194112504	0.0942355889724311
ENSMUSG00000000058.6:7	0.0189449140192364	0.00651629072681704
ENSMUSG00000000058.6:8	0.0454677936461673	0.282957393483709
ENSMUSG00000000058.6:9	0.00349752258816672	0.00150375939849624
ENSMUSG00000000168.6:11	0.227027027027027	0.00690007666751853
ENSMUSG00000000168.6:5	0.102232667450059	0.165601840020445
ENSMUSG00000000168.6:6	0.0267920094007051	0.105034500383338
ENSMUSG00000000168.6:7	0.0148061104582844	0.0304114490161002
ENSMUSG00000000168.6:8	0.627262044653349	0.691285458727319
ENSMUSG00000000594.7:1	0.271788990825688	0.507125890736342
ENSMUSG00000000594.7:2	0.728211009174312	0.492874109263658
ENSMUSG00000000976.10:1	0.0816812053925456	0.206458261765716
ENSMUSG00000000976.10:2	0.0828707375099128	0.00961868773617314
ENSMUSG00000000976.10:3	0.523394131641554	0.00652696667811749
ENSMUSG00000000976.10:5	0.304123711340206	0.776021985571968
ENSMUSG00000000976.10:6	0.00515463917525773	0.000687049124012367
ENSMUSG00000001016.9:1	0.766380478987799	0.598445595854922
ENSMUSG00000001016.9:2	0.233619521012201	0.401554404145078
ENSMUSG00000001323.14:1	0.0176991150442478	0.243293246993525
ENSMUSG00000001323.14:2	0.00326036329762459	0.0111008325624422
ENSMUSG00000001323.14:3	0.84350256171402	0.410730804810361
ENSMUSG00000001323.14:4	0.135537959944108	0.334875115633673
ENSMUSG00000001383.8:1	0.294117647058824	0.612343966712899
ENSMUSG00000001383.8:2	0.0354808590102708	0.0644937586685159
ENSMUSG00000001383.8:3	0.150326797385621	0.134535367545076
ENSMUSG00000001383.8:5	0.520074696545285	0.188626907073509
ENSMUSG00000001630.10:2	0.252944823310601	0.115634218289086
ENSMUSG00000001630.10:3	0.0198388096714197	0.00825958702064897
ENSMUSG00000001630.10:5	0.727216367017979	0.876106194690266
ENSMUSG00000001785.8:1	0.701005025125628	0.511969358442387
ENSMUSG00000001785.8:3	0.0318257956448911	0.0932014044047239
ENSMUSG00000001785.8:4	0.267169179229481	0.394829237152889
ENSMUSG00000002129.8:1	0.172193040052528	0.125056230319388
ENSMUSG00000002129.8:2	0.00344714379514117	0.0087719298245614
ENSMUSG00000002129.8:3	0.318942875902823	0.0368870895186685
ENSMUSG00000002129.8:4	0.428430728824688	0.67161493477283
ENSMUSG00000002129.8:5	0.00787918581746553	0.0519568151147099
ENSMUSG00000002129.8:7	0.0687787261982928	0.101439496176338
ENSMUSG00000002129.8:8	0.000328299409061064	0.00427350427350427
ENSMUSG00000002320.12:1	0.0714285714285714	0.17027027027027
ENSMUSG00000002320.12:2	0.0769230769230769	0.267567567567568
ENSMUSG00000002320.12:3	0.851648351648352	0.562162162162162
ENSMUSG00000002325.11:1	0.923954372623574	0.711887632750942
ENSMUSG00000002325.11:3	0.0107731305449937	0.012675573826653
ENSMUSG00000002325.11:4	0.0652724968314322	0.275436793422405
ENSMUSG00000002329.6:1	0.71926652892562	0.596425912137007
ENSMUSG00000002329.6:2	0.28073347107438	0.403574087862993
ENSMUSG00000002345.14:10	0.155425219941349	0.582278481012658
ENSMUSG00000002345.14:2	0.0146627565982405	0.0108499095840868
ENSMUSG00000002345.14:3	0.278592375366569	0.128390596745027
ENSMUSG00000002345.14:4	0.471163245356794	0.0108499095840868
ENSMUSG00000002345.14:5	0.0654936461388074	0.211573236889693
ENSMUSG00000002345.14:8	0.00684261974584555	0.0415913200723327
ENSMUSG00000002797.7:1	0.00186567164179104	0.152144772117962
ENSMUSG00000002797.7:2	0.0326492537313433	0.115281501340483
ENSMUSG00000002797.7:3	0.965485074626866	0.732573726541555
ENSMUSG00000002881.11:2	0.596153846153846	0.79136690647482
ENSMUSG00000002881.11:3	0.403846153846154	0.20863309352518
ENSMUSG00000002957.8:3	0.283621837549933	0.159302796919335
ENSMUSG00000002957.8:4	0.716378162450067	0.840697203080665
ENSMUSG00000003039.8:1	0.89920424403183	0.483661499790532
ENSMUSG00000003039.8:3	0.035240621447518	0.264976958525346
ENSMUSG00000003039.8:4	0.0655551345206518	0.251361541684122
ENSMUSG00000003161.12:1	0.49922158796056	0.735837980628119
ENSMUSG00000003161.12:3	0.499740529320187	0.259172292339301
ENSMUSG00000003161.12:6	0.00103788271925272	0.00498972703257998
ENSMUSG00000003420.7:1	0.274638274638275	0.107861488067384
ENSMUSG00000003420.7:2	0.680589680589681	0.781235376696303
ENSMUSG00000003420.7:3	0.0447720447720448	0.110903135236313
