BL	SP
ENSMUSG00000056763.13:3	0.264056663479	0.260544850594
ENSMUSG00000056763.13:2	0.00615599132596	0.0140637355828
ENSMUSG00000056763.13:1	0.729787345195	0.725391413823
ENSMUSG00000026319.10:2	0.0126713999481	0.0478268363049
ENSMUSG00000026319.10:1	0.959548303406	0.905447166596
ENSMUSG00000038866.12:5	0.0755141677111	0.0
ENSMUSG00000038866.12:4	0.0	0.0
ENSMUSG00000038866.12:3	0.00549148517371	0.00403365444694
ENSMUSG00000038866.12:2	0.0117746071694	0.00411788398824
ENSMUSG00000038866.12:1	0.902519891594	0.990903220109
ENSMUSG00000026315.10:2	0.574532100134	0.586961223665
ENSMUSG00000026315.10:1	0.119997878176	0.0836344759536
ENSMUSG00000026377.9:2	0.883582333399	0.956254079899
ENSMUSG00000026377.9:1	0.116417666601	0.0437459201011
ENSMUSG00000098923.1:1	0.85642664783	0.90068066357
ENSMUSG00000026339.15:4	0.00964473832167	0.0
ENSMUSG00000026339.15:3	0.00375381850667	0.0096357242684
ENSMUSG00000026339.15:2	0.196204570963	0.222002739309
ENSMUSG00000026339.15:1	0.780273360307	0.753732966921
ENSMUSG00000026342.7:1	0.587965746471	0.786746096332
ENSMUSG00000036155.10:3	0.0158944639182	0.0176311072833
ENSMUSG00000036155.10:2	0.477944937453	0.392257122796
ENSMUSG00000036155.10:1	0.506160598629	0.590111769921
ENSMUSG00000026349.11:3	0.144535769919	0.179872034319
ENSMUSG00000026349.11:2	0.219933809986	0.269660525636
ENSMUSG00000026349.11:1	0.233702211363	0.120391872816
ENSMUSG00000036104.8:4	0.0379457648495	0.00318343120484
ENSMUSG00000036104.8:3	0.00311405404131	0.00193235515545
ENSMUSG00000036104.8:2	0.150917384867	0.155622720722
ENSMUSG00000036104.8:1	0.808022796242	0.839261492917
ENSMUSG00000056211.10:2	0.181228634015	0.027092753666
ENSMUSG00000056211.10:1	0.816826054148	0.968861967432
ENSMUSG00000026353.6:2	0.315297213559	0.126025333319
ENSMUSG00000026353.6:1	0.449613174614	0.455527036494
ENSMUSG00000026427.13:5	0.0381115939214	0.0300570875232
ENSMUSG00000026427.13:4	0.74531440963	0.798154962473
ENSMUSG00000026427.13:3	0.157080261751	0.151360135083
ENSMUSG00000026427.13:2	0.0110610246474	0.000472866108619
ENSMUSG00000026427.13:1	0.00974423056631	0.00141859832586
ENSMUSG00000052688.9:1	0.905770708525	0.892591931136
ENSMUSG00000013275.9:2	0.00745578411631	0.0041494878947
ENSMUSG00000013275.9:1	0.992544215884	0.995850512105
